Country;Age_Group;Gender;EmploymentType;JobType;InformalWorker;Informal_Work_Type;OtherJob;JobLoss;JobRegain;MonthlyIncome;MonthlyIncome Bracket;IncomeChange;ExpenseResponsibility;LengthSurvival;MoneyForExpenses;ConcernExpenses;Expense_Concern_Rating;MonthlyNeed;TopPriority;LowPriority;Aid;AidSource_Aid_Organisations;AidSource_Charities_Donations;AidSource_Friends_family;AidSource_Government;AidSource_Not sure;AidSource_Other;AidSource_Religious_Organizations;COVIDLoans;MobileMoneyActivity;MobileMoneyDeposit;GovernmentPriority;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;No change;4;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;No;Protecting people from COVID-19;;
Kenya;18-25;Female;Employed part time;Government;No;N/A;N/A;Yes;Don't know;20001-50000;3;Decreased a lot;Yes;2-4 months;Loan/ Credit;More concerned;5;20001-50000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Kenya;26-35;Male;Employed full time;Small business owner/employee;Yes;Agriculture;N/A;Yes;No;10001-20000;2;Decreased a bit;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Not sure;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;5;100001-200000;Medical account;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;26-35;Male;Employed part time;Small business owner/employee;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;Yes;Don't know;Savings;Less concerned;3;10001-20000;Rent;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Male;Self-employed;N/A;Yes;Hair/Skin/Nail services;N/A;No-I’m still able to work;N/A;10001-20000;2;Decreased a lot;Yes;1 month;Savings;No change;4;10001-20000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don't know;No;Reopening the economy;;
Kenya;36+;Male;Employed full time;Other;No;N/A;Researcher with a Non- Governmental Organization;No-I’m still able to work;N/A;20001-50000;3;Decreased a bit;Yes;2-4 months;Savings;More concerned;5;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;Less concerned;2;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Not sure;;
Kenya;36+;Male;Self-employed;N/A;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a lot;Yes;2-4 months;Loan/ Credit;More concerned;5;10001-20000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Kenya;26-35;Male;Self-employed;N/A;Yes;Agriculture;N/A;Yes;Yes;0-10000;1;Decreased a lot;Yes;1 month;Other;More concerned;5;10001-20000;Rent;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Other;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Other;More concerned;5;10001-20000;Home Loan;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don't know;Yes;Protecting people from COVID-19;;
Kenya;26-35;Female;Employed part time;Healthcare;No;N/A;N/A;No-I’m still able to work;N/A;10001-20000;2;Decreased a bit;Yes;2-4 months;Savings;More concerned;5;10001-20000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don't know;Loan/ Credit;More concerned;3;0-10000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Kenya;18-25;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;More concerned;5;10001-20000;Food;Dynamic;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Savings;More concerned;3;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;26-35;Male;Employed part time;Other;Yes;N/A;Self employed;No-I’m still able to work;N/A;0-10000;1;Decreased a lot;Yes;2-4 months;Salary/income;More concerned;5;20001-50000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;36+;Female;Self-employed;N/A;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;Yes;2-4 months;Savings;Less concerned;5;10001-20000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Female;Self-employed;N/A;Yes;Seller;N/A;Yes;Yes;0-10000;1;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;0-10000;Food;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Male;Self-employed;N/A;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;Yes;< a month;Salary/income;More concerned;3;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Reopening the economy;;
Kenya;36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;10001-20000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;18-25;Female;Employed part time;Government;No;N/A;N/A;No-I’m still able to work;N/A;10001-20000;2;Decreased a bit;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;26-35;Male;Self-employed;N/A;Yes;Other;N/A;Yes;No;0-10000;1;Decreased a lot;Yes;2-4 months;Loan/ Credit;More concerned;3;10001-20000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Savings;No change;2;10001-20000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Male;Self-employed;N/A;Yes;Seller;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a lot;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Other;N/A;;N/A;Inchiniaring;Yes;Don't know;50001-100000;4;Increased a bit;Yes;< a month;Savings;No change;5;20001-50000;Rent;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Female;Employed part time;Educator;No;N/A;N/A;Yes;Don't know;0-10000;1;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;0-10000;Rent;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;1 month;Savings;More concerned;5;0-10000;Rent;Dynamic;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don't know;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;Less concerned;2;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don't know;No;Protecting people from COVID-19;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Employed full time;Educator;No;N/A;N/A;Yes;Yes;10001-20000;2;No change;Yes;Don't know;Loan/ Credit;More concerned;4;20001-50000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Male;Employed full time;Large business;No;N/A;N/A;No-I’m still able to work;N/A;20001-50000;3;Decreased a bit;Yes;2-4 months;Salary/income;More concerned;4;20001-50000;Rent;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Kenya;26-35;Male;Employed full time;Government;No;N/A;N/A;No-I’m still able to work;N/A;20001-50000;3;Increased a bit;Yes;1 month;Salary/income;More concerned;5;20001-50000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Don't know;No;Not sure;;
Kenya;26-35;Male;Employed part time;Other;Yes;Transportation;Boda boda;Yes;Yes;0-10000;1;Decreased a lot;Yes;< a month;Other;More concerned;5;0-10000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;26-35;Male;Employed part time;Educator;No;N/A;N/A;Yes;Don't know;0-10000;1;Decreased a lot;Yes;< a month;Other;More concerned;5;0-10000;School fees;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;18-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don't know;Loan/ Credit;Less concerned;5;10001-20000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Reopening the economy;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don't know;Other;More concerned;4;20001-50000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;No;Reopening the economy;;
Kenya;36+;Female;Employed part time;Other;;N/A;Taking care of my family, children.;Yes;Yes;0-10000;1;Decreased a lot;Yes;Don't know;Other;No change;5;0-10000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;18-25;Female;Employed part time;Small business owner/employee;Yes;Hair/Skin/Nail services;N/A;Yes;No;20001-50000;3;Decreased a bit;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;1 month;Other;Less concerned;1;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don't know;Other;Less concerned;5;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Kenya;18-25;Male;Self-employed;N/A;Yes;Other;Computer technology;Yes;Don't know;0-10000;1;Decreased a lot;Yes;2-4 months;Loan/ Credit;Less concerned;3;0-10000;Food;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;36+;Female;Self-employed;N/A;Yes;Agriculture;N/A;Yes;Don't know;0-10000;1;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;10001-20000;Food;Dynamic;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;More concerned;5;0-10000;Home Loan;Rent;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;10001-20000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;Less concerned;1;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;18-25;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Reopening the economy;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;26-35;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Other;More concerned;5;0-10000;Credit card;Dynamic;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;No change;5;10001-20000;School fees;Medical account;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Reopening the economy;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Savings;Less concerned;4;100001-200000;Food;Medical account;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Reopening the economy;;
Kenya;36+;Male;Employed full time;Government;No;N/A;N/A;Yes;Yes;20001-50000;3;No change;Yes;< a month;Salary/income;More concerned;4;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Female;Self-employed;N/A;Yes;Other;Farmer;Yes;Yes;0-10000;1;Decreased a lot;Yes;< a month;Savings;Less concerned;5;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;5;Over 200000;Home Loan;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Kenya;26-35;Female;Employed full time;Other;Yes;Cleaner;House help;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;Yes;< a month;Savings;More concerned;2;10001-20000;Rent;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Other;;
Kenya;18-25;Female;Employed full time;Healthcare;No;N/A;N/A;No-I’m still able to work;N/A;0-10000;1;No change;Yes;< a month;Loan/ Credit;More concerned;5;0-10000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Employed full time;Government;No;N/A;N/A;No-I’m still able to work;N/A;50001-100000;4;No change;Yes;5+ months;Salary/income;More concerned;3;20001-50000;Rent;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Reopening the economy;;
Kenya;18-25;Male;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Employed full time;Other;Yes;Agriculture;Farming;Yes;Yes;10001-20000;2;Decreased a bit;Yes;2-4 months;Savings;More concerned;5;20001-50000;Rent;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Self-employed;N/A;Yes;Hair/Skin/Nail services;N/A;Yes;Yes;0-10000;1;No change;Yes;2-4 months;Savings;No change;5;0-10000;Rent;Food;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;Yes;Protecting people from COVID-19;;
Kenya;26-35;Male;Employed full time;Small business owner/employee;Yes;ICT;Information Technology Services;Yes;Yes;100001-200000;5;No change;Yes;Don't know;Salary/income;No change;2;50001-100000;Food;Dynamic;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Female;Self-employed;N/A;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Female;Self-employed;N/A;Yes;Childcare;N/A;No-I’m still able to work;N/A;20001-50000;3;Decreased a bit;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Loan/ Credit;More concerned;5;0-10000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Female;Employed full time;Small business owner/employee;Yes;Entertainment/art;Offering entertainment;Yes;Don't know;10001-20000;2;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;3;0-10000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Protecting people from COVID-19;;
Kenya;18-25;Male;Employed full time;Government;No;N/A;N/A;No-I’m still able to work;N/A;20001-50000;3;No change;Yes;1 month;Salary/income;More concerned;5;50001-100000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Reopening the economy;;
Kenya;18-25;Male;Employed full time;Small business owner/employee;Yes;Security officer;Security;Yes;Yes;0-10000;1;No change;Yes;2-4 months;Salary/income;More concerned;5;0-10000;Food;Home Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Female;Self-employed;N/A;Yes;Seller;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a bit;Yes;1 month;Savings;Less concerned;3;10001-20000;Food;Other;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;No;Protecting people from COVID-19;;
Kenya;26-35;Male;Employed full time;Educator;No;N/A;N/A;Yes;Don't know;0-10000;1;Decreased a lot;Yes;< a month;Salary/income;No change;1;20001-50000;Other;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Stayed the same;No;Reopening the economy;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Other;More concerned;5;10001-20000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Employed full time;Educator;No;N/A;N/A;Yes;Yes;20001-50000;3;No change;Yes;< a month;Salary/income;More concerned;5;20001-50000;Food;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Increased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;Don't know;Other;No change;1;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Stayed the same;No;Protecting people from COVID-19;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;5;10001-20000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;36+;Male;Self-employed;N/A;Yes;Agriculture;Farming;Yes;No;10001-20000;2;Decreased a lot;Yes;< a month;Savings;More concerned;3;20001-50000;Rent;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;26-35;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;26-35;Female;Self-employed;N/A;Yes;Hair/Skin/Nail services;N/A;Yes;Yes;10001-20000;2;Decreased a lot;Yes;5+ months;Savings;More concerned;3;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;No;Protecting people from COVID-19;;
Kenya;26-35;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Loan/ Credit;More concerned;5;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;18-25;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;< a month;Savings;Less concerned;2;10001-20000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;36+;Male;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Reopening the economy;;
Kenya;18-25;Female;Student;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;2-4 months;Savings;More concerned;5;50001-100000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;No;Not sure;;
Kenya;36+;Male;Self-employed;N/A;Yes;Construction/Mechanic/Electrician;Building and Construction;Yes;Don't know;0-10000;1;Decreased a lot;Yes;2-4 months;Salary/income;Less concerned;5;10001-20000;Rent;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Reopening the economy;;
Kenya;18-25;Female;Employed full time;Educator;No;N/A;N/A;Yes;Yes;0-10000;1;Decreased a lot;Yes;< a month;Loan/ Credit;More concerned;5;10001-20000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Increased;Yes;Protecting people from COVID-19;;
Kenya;26-35;Male;Employed part time;Educator;No;N/A;N/A;Yes;No;10001-20000;2;No change;Yes;1 month;Savings;More concerned;3;20001-50000;Rent;Credit card;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;Yes;Protecting people from COVID-19;;
Kenya;36+;Female;Self-employed;N/A;Yes;Agriculture;N/A;No-I’m still able to work;N/A;0-10000;1;Decreased a lot;Yes;Don't know;Savings;Less concerned;1;0-10000;Food;Vehicle Loan;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;No;Decreased;No;Protecting people from COVID-19;;
Kenya;36+;Female;Unemployed;N/A;;N/A;N/A;N/A;N/A;N/A;;N/A;Yes;1 month;Loan/ Credit;More concerned;5;20001-50000;Food;School fees;No;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Yes;Decreased;No;Protecting people from COVID-19;;
